Cliente,Sucursal,Mes,Total
Emilio,Centro,3,166.36
Juan,Centro,1,317.6
Emilio,Sur,6,962.89
Andres,Centro,6,873.16
Kenya,Centro,8,639.24
Juan,Centro,10,538.41
Eduardo,Norte,9,724.94
Luis,Sur,7,186.53
Sebastian,Sur,2,707.8
Sebastian,Sur,11,676.55
Juan,Centro,11,174.43
Juan,Norte,2,718.89
Eduardo,Sur,4,530.35
Sebastian,Norte,1,817.7
Elena,Sur,4,573.7
Eduardo,Sur,2,824.76
Emilio,Centro,8,465.82
Andres,Norte,3,99.82
Dan,Centro,2,120.99
Dan,Centro,8,655.37
Kenya,Sur,8,202.66
Eduardo,Norte,6,999.19
Luis,Sur,8,327.69
Emilio,Norte,7,362.98
Eduardo,Centro,3,168.38
Juan,Norte,4,335.75
Luis,Sur,1,129.06
Kenya,Norte,6,673.52
Luis,Sur,7,726.96
Dan,Norte,11,125.02
Kenya,Sur,7,210.73
Emilio,Norte,7,554.55
Sebastian,Centro,6,814.68
Eduardo,Centro,9,329.7
Andres,Norte,2,291.39
Julia,Sur,6,179.47
Andres,Norte,4,75.62
Emilio,Centro,3,567.65
Eduardo,Norte,3,187.54
Juan,Sur,11,850.98
Diego,Norte,4,818.71
Andres,Sur,5,903.4
Andres,Norte,8,760.23
Sebastian,Sur,4,479.93
Dan,Sur,9,478.93
Andres,Centro,4,47.39
Juan,Centro,11,552.53
Elena,Centro,1,324.66
Elena,Norte,6,594.88
Diego,Sur,9,327.69
Julia,Sur,2,801.57
Diego,Centro,6,197.62
Andres,Centro,9,559.59
Diego,Sur,10,508.17
Emilio,Norte,12,701.75
Juan,Sur,8,740.07
Kenya,Norte,1,510.18
Dan,Norte,9,448.68
Sebastian,Sur,2,211.74
Elena,Norte,3,242.99
Julia,Norte,3,63.52
Kenya,Centro,11,421.45
Sebastian,Norte,5,884.25
Kenya,Centro,11,879.21
Julia,Norte,3,555.55
Andres,Norte,3,660.41
Diego,Sur,4,774.35
Julia,Centro,6,586.81
Eduardo,Sur,1,599.92
Luis,Norte,8,35.29
Elena,Centro,4,341.8
Julia,Norte,7,728.98
Julia,Centro,9,715.87
